id,name,category,what,primaryAuth,authMethods,access,accessDetail,apiStyle,breadth,mcp,mcpScope,verdict,priority,blocker,confidence,evidence,verifiedAt
1,Salesforce,CRM and Sales,"Enterprise CRM for accounts, leads, opportunities, cases, activities, and custom objects.",Mixed,OAuth2; JWT bearer; client credentials,Admin/paid,"Developer orgs are self-serve, but useful production credentials and scopes require a Salesforce tenant and administrator.",REST; SOAP; GraphQL; Bulk; Streaming,Broad,Official,Action,Ready with constraints,Pilot with guardrails,"Tenant administration, object permissions, security review, and high-risk write actions.",High,https://developer.salesforce.com/docs/platform/mobile-sdk/guide/oauth-intro.html; https://developer.salesforce.com/docs/platform/mcp/overview,2026-08-18
2,HubSpot,CRM and Sales,"CRM and marketing platform for contacts, companies, deals, tickets, activities, and content.",Mixed,OAuth2; private app token,Self-serve,"Free developer accounts, test accounts, private apps, and OAuth apps are available without sales contact.",REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Sensitive-data restrictions, user permissions, rate limits, and confirmation for writes.",High,https://developers.hubspot.com/docs/guides/apps/authentication/intro-to-auth; https://developers.hubspot.com/changelog/remote-hubspot-mcp-server-is-now-generally-available,2026-08-18
3,Pipedrive,CRM and Sales,"Sales CRM for deals, leads, people, organizations, activities, products, projects, and webhooks.",Mixed,OAuth2; API token,Self-serve,A developer sandbox can be requested and API tokens are available in customer accounts.,REST; Webhooks; OpenAPI,Broad,None,None,Ready,Easy win,"No vendor-native MCP verified, but the broad OpenAPI surface is straightforward to wrap.",High,https://developers.pipedrive.com/; https://developers.pipedrive.com/docs/api/v1,2026-08-18
4,Attio,CRM and Sales,"Flexible CRM for people, companies, deals, lists, notes, tasks, meetings, and custom objects.",Mixed,OAuth2; API key,Self-serve,Developers can create workspaces and API integrations directly.,REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Write confirmations, workspace permissions, and bulk-operation guardrails.",High,https://docs.attio.com/rest-api/overview; https://docs.attio.com/mcp/overview,2026-08-18
5,Twenty,CRM and Sales,"Open-source CRM for people, companies, opportunities, activities, workflows, and custom objects.",Mixed,OAuth2; API key,Open-source/local,"Self-hosting and cloud workspaces are available, with credentials controlled by the workspace owner.",REST; GraphQL; Webhooks,Broad,Official,Action,Ready,Easy win,"Self-hosted version drift, permissions, and destructive write operations.",High,https://docs.twenty.com/developers; https://docs.twenty.com/user-guide/ai/capabilities/mcp,2026-08-18
6,Podio,CRM and Sales,"Customizable work platform for apps, items, tasks, contacts, conversations, files, and workflows.",OAuth2,OAuth2,Admin/paid,"API clients are self-created, but meaningful testing needs a Podio workspace and administrator-approved app access.",REST; Webhooks,Broad,None,None,Ready with constraints,Pilot with guardrails,"Legacy platform patterns, workspace permissions, and no vendor-native MCP verified.",High,https://developers.podio.com/authentication; https://developers.podio.com/doc,2026-08-18
7,Zoho CRM,CRM and Sales,"CRM for leads, contacts, accounts, deals, activities, automation, analytics, and custom modules.",OAuth2,OAuth2,Self-serve,Zoho API Console and trial CRM accounts provide a self-serve credential path.,REST; Bulk; Notifications,Broad,Official,Action,Ready,Easy win,"Multi-region domains, scopes, edition limits, and confirmation for record mutations.",High,https://www.zoho.com/crm/developer/docs/api/v7/oauth-overview.html; https://www.zoho.com/crm/developer/docs/mcp/overview.html,2026-08-18
8,Close,CRM and Sales,"Sales CRM for leads, contacts, opportunities, email, calls, SMS, tasks, and reporting.",API key,Basic with API key,Admin/paid,"API keys are generated in a Close account, and a free trial can be used for evaluation.",REST; Webhooks,Broad,Official,Action,Ready,Pilot with guardrails,"Customer communications, calling costs, permissions, and write confirmation.",High,https://developer.close.com/topics/authentication/; https://developer.close.com/mcp,2026-08-18
9,Copper,CRM and Sales,"Google Workspace-oriented CRM for people, companies, opportunities, activities, projects, and tasks.",API key,API key plus user email,Admin/paid,Credentials require a Copper account and administrator access.,REST; Webhooks,Broad,None,None,Ready with constraints,Pilot with guardrails,"Paid tenant, admin credentials, rate limits, and no vendor-native MCP verified.",High,https://developer.copper.com/authentication; https://developer.copper.com/,2026-08-18
10,DealCloud,CRM and Sales,Deal and relationship-management platform for investment and professional-services firms.,Mixed,OAuth2; issued credentials,Partner/sales,API access is tied to a contracted DealCloud tenant and provisioned by administrators or support.,REST,Broad,None,None,Blocked,Outreach first,"Enterprise contract, tenant configuration, and no public self-serve sandbox.",High,https://api.docs.dealcloud.com/; https://api.docs.dealcloud.com/docs/authentication,2026-08-18
11,Zendesk,Support and Helpdesk,"Customer-service platform for tickets, users, organizations, help center, messaging, voice, and routing.",Mixed,OAuth2; API token; Basic,Admin/paid,"Trials exist, but OAuth clients and production tokens require a Zendesk tenant and admin rights.",REST; Webhooks; Events,Broad,None,None,Ready with constraints,Pilot with guardrails,"Tenant administration, complex product surfaces, customer-data sensitivity, and no native MCP verified.",High,https://developer.zendesk.com/documentation/; https://developer.zendesk.com/documentation/api-basics/authentication/,2026-08-18
12,Intercom,Support and Helpdesk,"Customer support and engagement platform for contacts, conversations, tickets, articles, teams, and messages.",Mixed,OAuth2; access token,Self-serve,Developer workspaces and apps are self-serve; customer installs use OAuth.,REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Workspace permissions, customer-message safety, app review for distribution, and rate limits.",High,https://developers.intercom.com/docs/build-an-integration/learn-more/authentication; https://developers.intercom.com/docs/guides/mcp,2026-08-18
13,Freshdesk,Support and Helpdesk,"Helpdesk for tickets, contacts, agents, companies, groups, solutions, conversations, and time entries.",Mixed,API key; OAuth2,Self-serve,Free trials and API keys provide a direct testing path.,REST; Webhooks,Broad,None,None,Ready,Easy win,No vendor-native MCP verified; normalize product editions and enforce ticket-write guardrails.,High,https://developers.freshdesk.com/api/; https://developers.freshworks.com/docs/app-sdk/v3.0/support_ticket/serverless-apps/oauth/,2026-08-18
14,Front,Support and Helpdesk,"Shared-inbox and customer-operations platform for conversations, messages, contacts, inboxes, tags, and rules.",Mixed,OAuth2; API token,Admin/paid,A Front tenant is needed; OAuth app setup requires administrator configuration.,REST; Webhooks,Broad,Official,Action,Ready with constraints,Pilot with guardrails,"OAuth client compatibility, teammate permissions, messaging risk, and beta maturity.",High,https://dev.frontapp.com/docs/authentication; https://dev.frontapp.com/docs/mcp-server,2026-08-18
15,Pylon,Support and Helpdesk,"B2B support platform for tickets, customer accounts, Slack and Teams channels, knowledge, and workflows.",Mixed,OAuth2; API key,Admin/paid,API and MCP access require an active Pylon workspace and administrator setup.,REST; Webhooks,Moderate,Official,Action,Ready with constraints,Pilot with guardrails,"Paid workspace, admin setup, evolving docs, and customer-support data.",High,https://docs.usepylon.com/pylon-docs/api-reference/authentication; https://docs.usepylon.com/pylon-docs/integrations/pylon-mcp,2026-08-18
